Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Length,Width,Depth,Price,Data Url
1798574,EMERALD,0.31,9,12,5,5,4,0,4.81,3.13,2.01,877.65,https://capitalwholesalediamonds.com/product/0-31-ct-emerald-155/
1746078,EMERALD,0.3,6,15,4,4,4,0,4.26,3.22,2.29,849.11,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-238/
1762874,EMERALD,0.33,7,13,5,5,4,1,4.94,3.23,2.13,877.85,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-61/
1765028,EMERALD,0.3,5,15,5,5,4,0,4.36,3.23,2.2,849.6,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-260/
1791737,EMERALD,0.42,6,10,5,5,3,1,4.91,3.63,2.43,878.23,https://capitalwholesalediamonds.com/product/0-42-ct-emerald-76/
1787854,EMERALD,0.29,6,14,3,4,3,0,4.66,3.22,2.09,849.7,https://capitalwholesalediamonds.com/product/0-29-ct-emerald-7/
1781337,EMERALD,0.39,5,15,4,5,3,2,5.34,3.54,2.19,878.5,https://capitalwholesalediamonds.com/product/0-39-ct-emerald-4/
1636190,EMERALD,0.5,4,9,5,5,4,0,5.32,3.91,2.56,849.8,https://capitalwholesalediamonds.com/product/0-5-ct-emerald-384/
1800685,EMERALD,0.3,6,14,4,4,2,0,4.43,3.15,2.19,878.99,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-305/
1730663,EMERALD,0.29,6,16,4,3,3,0,4.47,3.23,2.22,851.66,https://capitalwholesalediamonds.com/product/0-29-ct-emerald-5/
1787830,EMERALD,0.32,9,11,5,5,4,0,4.96,3.27,2.06,851.78,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-96/
1791065,EMERALD,0.3,5,15,4,4,3,0,4.78,3.23,1.99,879.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-261/
1795798,EMERALD,0.3,5,17,5,4,4,0,4.5,3.36,2.2,853.67,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-522/
1793133,EMERALD,0.3,5,15,4,5,3,0,4.25,3.2,2.22,879.02,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-264/
1781340,EMERALD,0.3,5,15,4,4,3,0,4.41,3.31,2.21,854.16,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-262/
1734750,EMERALD,0.3,7,13,5,3,4,0,4.63,3.23,2.14,880.52,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-327/
1761612,EMERALD,0.32,8,13,5,4,3,1,4.83,3.2,2.06,856.69,https://capitalwholesalediamonds.com/product/0-32-ct-emerald-88/
1763914,EMERALD,0.3,8,13,4,4,4,0,4.56,3.03,2.12,880.57,https://capitalwholesalediamonds.com/product/0-3-ct-emerald-326/
1775252,EMERALD,0.33,6,12,5,3,4,0,4.71,3.15,2.36,857.27,https://capitalwholesalediamonds.com/product/0-33-ct-emerald-64/
1791738,EMERALD,0.4,6,10,5,4,4,0,4.97,3.67,2.33,881.57,https://capitalwholesalediamonds.com/product/0-4-ct-emerald-360/
1622516,EMERALD,0.5,5,9,4,5,4,0,5.87,3.75,2.34,859.31,https://capitalwholesalediamonds.com/product/0-5-ct-emerald-383/
