Id,Shape,Weight,Clarity,Colour,Cut,Polish,Syetry,Fluorescence,Length,Width,Depth,Price,Data Url
436073099,RADIANT,1.02,4,16,5,5,5,0,6.33,6.37,4.01,"2,016.50",https://capitalwholesalediamonds.com/product/1-02-ct-radiant-17/
414063762,RADIANT,1.03,4,16,5,5,5,0,6.57,6.58,3.85,"2,032.29",https://capitalwholesalediamonds.com/product/1-03-ct-radiant-7/
436071570,RADIANT,1.03,4,16,5,5,5,0,6.54,6.55,3.89,"2,032.29",https://capitalwholesalediamonds.com/product/1-03-ct-radiant-12/
57237331,RADIANT,0.9,7,16,5,5,5,0,6,6.07,3.85,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-14/
57237332,RADIANT,0.9,7,16,4,5,4,0,6.19,6.22,3.68,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-15/
57237333,RADIANT,0.9,7,16,4,5,5,0,6.05,6.08,3.85,"2,056.86",https://capitalwholesalediamonds.com/product/0-9-ct-radiant-16/
210041-460,RADIANT,1,5,7,4,5,4,0,6.31,4.9,3.4,"2,061.50",https://capitalwholesalediamonds.com/product/1-ct-radiant-25/
436054128,RADIANT,1,4,17,5,5,5,0,6.36,6.4,4.02,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-36/
436071571,RADIANT,1,4,17,5,5,5,0,6.5,6.53,3.79,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-38/
440008419,RADIANT,1,4,17,5,5,5,0,6.28,6.35,3.98,"2,062.13",https://capitalwholesalediamonds.com/product/1-ct-radiant-44/
436073100,RADIANT,1.05,4,16,5,5,5,0,6.44,6.49,4.05,"2,065.64",https://capitalwholesalediamonds.com/product/1-05-ct-radiant-4/
440020214,RADIANT,1.01,4,17,5,5,5,0,6.44,6.46,3.96,"2,079.68",https://capitalwholesalediamonds.com/product/1-01-ct-radiant-44/
